uid,xml_count,danmu_count
49516239,4,13
5582688,4,13
95668012,4,13
11205444,4,12
22985385,4,12
2355072,4,12
292547,4,12
31395,4,12
31949306,4,12
35339352,4,12
36502484,4,12
38847694,4,12
8176881,4,12
840906,4,12
864262,4,12
10094517,4,11
12235630,4,11
13096161,4,11
2407746,4,11
28389818,4,11
307434,4,11
3589154,4,11
37646364,4,11
396743,4,11
42838354,4,11
72325968,4,11
80441783,4,11
10987925,4,10
11777681,4,10
17849,4,10
21619356,4,10
22659456,4,10
25732676,4,10
36042587,4,10
38149330,4,10
382166,4,10
52813309,4,10
565203,4,10
7507748,4,10
839509,4,10
1752210,4,9
17890707,4,9
22702561,4,9
24212247,4,9
2453832,4,9
33745163,4,9
35007334,4,9
3587898,4,9
3925921,4,9
529118,4,9
78117274,4,9
81025653,4,9
94082385,4,9
10318108,4,8
11216276,4,8
14225591,4,8
14466979,4,8
1635144,4,8
18289032,4,8
2067942,4,8
20851838,4,8
23084531,4,8
233172,4,8
24254619,4,8
26157141,4,8
29770239,4,8
32509295,4,8
33026977,4,8
33268901,4,8
3654264,4,8
3998574,4,8
45727238,4,8
53479349,4,8
75928235,4,8
8587508,4,8
87424155,4,8
94051047,4,8
10189925,4,7
12562342,4,7
13116483,4,7
13434781,4,7
13568633,4,7
1746859,4,7
18179768,4,7
1901790,4,7
22747356,4,7
24187791,4,7
30601016,4,7
3091006,4,7
36785157,4,7
4063227,4,7
4458907,4,7
50477561,4,7
8063266,4,7
89258961,4,7
9040200,4,7
12017112,4,6
12440619,4,6
12967254,4,6
13334836,4,6
13991881,4,6
1477413,4,6
16053358,4,6
22028443,4,6
24339020,4,6
2669486,4,6
2957809,4,6
29753021,4,6
30999568,4,6
3182648,4,6
34071658,4,6
3419913,4,6
36193341,4,6
3899428,4,6
39145272,4,6
447506,4,6
47308931,4,6
49173496,4,6
501628,4,6
67343307,4,6
77194499,4,6
8060956,4,6
82670031,4,6
895003,4,6
90954877,4,6
9317574,4,6
9963613,4,6
100739,4,5
10260199,4,5
12584337,4,5
1272784,4,5
14677412,4,5
148561,4,5
15124,4,5
15535166,4,5
188402,4,5
19536505,4,5
2137318,4,5
24852952,4,5
28006030,4,5
2905623,4,5
30374092,4,5
34942255,4,5
35739752,4,5
3787433,4,5
39603118,4,5
40043075,4,5
40398464,4,5
4301499,4,5
44723855,4,5
471643,4,5
5796210,4,5
6473886,4,5
7834689,4,5
7879415,4,5
83066781,4,5
83544101,4,5
84513078,4,5
86634209,4,5
8761,4,5
9213,4,5
11882562,4,4
12321826,4,4
12792903,4,4
14111466,4,4
15817879,4,4
16394457,4,4
18248483,4,4
21218246,4,4
22635022,4,4
23385190,4,4
2343972,4,4
23899652,4,4
2643834,4,4
28449323,4,4
28572891,4,4
