uid,uname,category,guard_event_count,guard_count_sum,max_level,is_blacklist,is_510_return,is_broad_return_exclusive,is_window_new,first_seen_text,last_pre_return_text,as_active_count_after_source
17206073,是我说话大声了,黑名单长期观众,1,1,3,1,0,0,0,,,0
1721068,行人,黑名单长期观众,1,1,3,1,0,0,0,,,0
17213724,嗶嗶嗶QAQ,广义回旋,1,1,3,0,0,1,0,2022-03-18 19:50,2024-10-10 19:21,21
17214839,那个牧诗,黑名单长期观众,1,1,3,1,0,0,0,,,0
172196025,n70今天吃什么,黑名单长期观众,1,1,3,1,0,0,0,,,0
17224638,管弦秋,kg,1,1,3,0,0,0,1,2026-01-18 13:50,,0
172247496,无糖橘皮乌龙--,黑名单长期观众,1,1,3,1,0,0,0,,,0
172292482,天使紫陽花,黑名单长期观众,1,1,3,1,0,0,0,,,0
1723152510,EXCLUBerkml,kg,1,1,3,0,0,0,1,2026-01-18 13:50,,9
172337113,熱泪盈眶,kg,1,1,3,0,0,0,0,2022-03-27 19:50,2023-01-05 19:50,0
172349507,相遇即是还愿,kg,1,1,3,0,0,0,1,,,0
172355568,天子之旅suis,kg,1,1,3,0,0,0,1,,,0
172380455,最小浪漫单元,黑名单长期观众,1,1,3,1,0,0,0,,,0
172389152,aqznmu,广义回旋,1,1,3,0,0,1,0,2024-08-24 10:50,2024-09-01 11:00,32
172446811,丨文以载道丨,kg,1,1,3,0,0,0,1,,,0
172458133,环流流流流,黑名单长期观众,1,1,3,1,0,0,0,,,0
17253453,枫风纷飞,kg,1,1,3,0,0,0,1,2025-12-10 14:55,,6
172543125,月冥AB,kg,1,1,3,0,0,0,1,2025-12-16 17:52,,51
17255849,不安星甜Nebulae,广义回旋,1,1,3,0,0,1,0,2022-02-04 19:50,2024-07-03 20:56,0
1726507,YDJL_1,kg,1,1,3,0,0,0,1,2026-01-07 20:51,,14
17265369,善变的承诺,kg,1,1,3,0,0,0,1,2025-12-10 14:55,,113
17274204,尘埃阿萨,黑名单长期观众,1,1,3,1,0,0,0,,,0
1727425779,达尔文4,kg,1,1,3,0,0,0,1,,,0
17276310,potato_fighter,黑名单长期观众,1,1,3,1,0,0,0,,,0
172779272,Crepusculey,黑名单长期观众,1,1,3,1,0,0,0,,,0
1728130,酒寄小珀,kg,1,1,3,0,0,0,1,,,0
1728258,--kanau--,kg,1,1,3,0,0,0,1,2026-01-22 19:21,,1
172852248,洞King_,kg,1,1,3,0,0,0,1,2025-12-09 13:55,,3
172858162,雨にあう,kg,1,1,3,0,0,0,1,2025-12-09 13:55,,9
172870919,秋廿七,kg,1,1,3,0,0,0,1,2025-12-23 17:56,,24
1729044,飘缭霰月,kg,1,1,3,0,0,0,0,2022-02-04 19:50,2022-05-07 19:50,0
172914872,TONY-_-,黑名单长期观众,1,1,3,1,0,0,0,,,0
173002471,浅曦呀_,kg,1,1,3,0,0,0,0,2022-04-27 19:50,2025-05-16 19:57,0
173006345,累A808,黑名单长期观众,1,1,3,1,0,0,0,,,0
17304226,_薤露,kg,1,1,3,0,0,0,1,,,0
1730592586,叫做十一的路人乙,kg,1,1,3,0,0,0,1,2026-02-10 16:23,,14
17307864,风如殇,kg,1,1,3,0,0,0,1,2026-01-03 16:51,,12
1731518,大方的小明,黑名单长期观众,1,1,3,1,0,0,0,,,0
1731569297,bili_65505169786,黑名单长期观众,1,1,3,1,0,0,0,,,0
1731670347,伪神Pretender,kg,1,1,3,0,0,0,0,2024-06-14 19:49,2024-06-14 19:49,0
17317051,Aku3eru,广义回旋,1,1,3,0,0,1,0,2024-08-07 21:00,2024-08-07 21:00,6
17322,turtlejk,kg,1,1,3,0,0,0,0,2022-04-07 18:40,2022-04-23 19:51,0
173287714,Cuxer_,黑名单长期观众,1,1,3,1,0,0,0,,,0
173308562,RukawaD,kg,1,1,3,0,0,0,1,,,0
17332796,挚爱艾斯特,kg,1,1,3,0,0,0,1,2026-01-03 16:51,,3
173343129,全险半挂今天撞什么,黑名单长期观众,1,1,3,1,0,0,0,,,0
173347950,Azkeeib,kg,1,1,3,0,0,0,1,2025-12-17 20:58,,1
173360217,墨时染,kg,1,1,3,0,0,0,1,2025-12-18 22:10,,10
1733731,落入眼瞳的唱片,黑名单长期观众,1,1,3,1,0,0,0,,,0
173387326,露早今天吃泡芙,kg,1,1,3,0,0,0,0,2025-03-31 19:51,2025-03-31 19:51,0
173421122,越子诚,kg,1,1,3,0,0,0,0,2024-08-22 19:26,2024-08-22 19:26,0
173438633,安知水鱼,510回旋,1,1,3,0,1,0,0,2022-03-25 19:50,2022-05-11 19:50,0
173460599,简并态中子,黑名单长期观众,1,1,3,1,0,0,0,,,0
173492515,若许OvO,kg,1,1,3,0,0,0,1,2026-01-24 11:55,,12
173494310,可笙-Kose,kg,1,1,3,0,0,0,1,2025-12-10 14:55,,29
173531368,晚来思卿,黑名单长期观众,1,1,3,1,0,0,0,,,0
173544644,鹏飞振八裔,kg,1,1,3,0,0,0,1,2025-12-11 20:56,,10
173562272,建安三年,kg,1,1,3,0,0,0,1,2025-12-13 23:55,,29
1735859382,Eterlight-Flare,kg,1,1,3,0,0,0,1,2025-12-23 17:56,,5
1736,教练我想开空调,黑名单长期观众,1,1,3,1,0,0,0,,,0
1736109785,卡卡的提千千的咲,kg,1,1,3,0,0,0,1,,,0
1736593801,丹瑾ん,kg,1,1,3,0,0,0,1,2025-12-21 16:54,,3
17369180,sjfjrisjc,510回旋,1,1,3,0,1,0,0,2022-02-04 19:50,2022-05-20 19:45,0
1736954371,网友喜多,kg,1,1,3,0,0,0,1,2026-01-15 15:55,,15
1736966740,枝江唯一的匡,kg,1,1,3,0,0,0,1,2026-01-15 19:20,,66
1737230266,AvA_Vesna,黑名单长期观众,1,1,3,1,0,0,0,,,0
17377428,-圈圈-,kg,1,1,2,0,0,0,0,2022-03-25 19:50,2025-04-26 00:25,0
1738186,虚埠-155,kg,1,1,3,0,0,0,1,,,0
173823714,悱柘c,510回旋,1,1,3,0,1,0,0,2022-03-25 19:50,2022-04-27 18:40,1
17383910,你无与伦比的美丽,广义回旋,1,1,3,0,0,1,0,2022-12-11 19:50,2022-12-11 19:50,0
173842955,搬砖的逗逗,kg,1,1,3,0,0,0,1,2025-12-21 16:54,,27
1738599,澈如云汐,kg,1,1,2,0,0,0,1,2026-01-22 19:21,,42
173862903,Chaox-,kg,1,1,3,0,0,0,1,2026-02-21 21:00,,0
173883704,潜辙辙辙辙,510回旋,1,1,3,0,1,0,0,2022-04-22 19:50,2022-05-07 19:50,0
173893184,小熊虫大王,黑名单长期观众,1,1,3,1,0,0,0,,,0
173898306,隆爱菱,kg,1,1,3,0,0,0,1,,,0
173901144,吗乐快你,黑名单长期观众,1,1,3,1,0,0,0,,,0
173910810,青城道长,黑名单长期观众,1,1,3,1,0,0,0,,,0
17393355,Delicateのプリン,kg,1,1,3,0,0,0,1,2026-02-03 16:53,,0
173950616,一卜弋,kg,1,1,3,0,0,0,1,2025-12-21 16:54,,22
173964395,深海中潜水,kg,1,1,3,0,0,0,1,2026-02-28 15:20,,4
