uid,xml_count,danmu_count
659531,3,5
689304,3,5
71955775,3,5
8111676,3,5
87878849,3,5
89017705,3,5
90177571,3,5
93730244,3,5
93790150,3,5
10085804,3,4
11283581,3,4
12188257,3,4
12381806,3,4
1336137,3,4
14546979,3,4
151589,3,4
15468083,3,4
15519222,3,4
16616195,3,4
18242201,3,4
2043831,3,4
21139057,3,4
2325424,3,4
23489012,3,4
23624402,3,4
23928462,3,4
23984551,3,4
25636568,3,4
26447535,3,4
2750063,3,4
2800761,3,4
31255976,3,4
327140,3,4
36906669,3,4
37871782,3,4
394738,3,4
39515261,3,4
39603118,3,4
47483155,3,4
4778202,3,4
5204735,3,4
5644484,3,4
57660691,3,4
63050,3,4
664518,3,4
72833,3,4
7382209,3,4
78094892,3,4
7862898,3,4
8063266,3,4
8218135,3,4
8316471,3,4
85539904,3,4
871541,3,4
9022718,3,4
9288559,3,4
10581789,3,3
11280333,3,3
11502615,3,3
11691715,3,3
11851245,3,3
12584337,3,3
13365786,3,3
1378242,3,3
13991881,3,3
14178801,3,3
14677412,3,3
14689848,3,3
15218027,3,3
15535166,3,3
17660540,3,3
1804857,3,3
18190417,3,3
19059827,3,3
20699052,3,3
2194694,3,3
22935670,3,3
23472144,3,3
2372206,3,3
240011,3,3
24387575,3,3
25272,3,3
25544795,3,3
25905887,3,3
26701433,3,3
27138846,3,3
27489831,3,3
284681,3,3
3026648,3,3
32837383,3,3
33428881,3,3
33762176,3,3
33878623,3,3
34890109,3,3
36141102,3,3
369974,3,3
3718504,3,3
38909925,3,3
3944523,3,3
40424419,3,3
4259791,3,3
4439067,3,3
4443793,3,3
446478,3,3
4565121,3,3
46431609,3,3
5015049,3,3
5067054,3,3
53461411,3,3
5415125,3,3
55443328,3,3
62340725,3,3
6362983,3,3
66607887,3,3
6693359,3,3
732440,3,3
73405958,3,3
74565727,3,3
82371767,3,3
8363789,3,3
839509,3,3
85527990,3,3
88756612,3,3
9212816,3,3
9213,3,3
93420169,3,3
94236634,3,3
95074954,3,3
99632474,3,3
11071799,2,198
39115670,2,128
27112908,2,60
13276357,2,52
12093185,2,47
56894812,2,40
21290615,2,38
7991110,2,38
20704907,2,35
31742068,2,35
128471,2,34
943291,2,32
28784881,2,31
11476862,2,30
1898080,2,29
5052488,2,29
7182237,2,29
87937216,2,28
11054860,2,27
24264222,2,27
22224506,2,25
41209744,2,25
2293522,2,22
71274415,2,22
84945745,2,20
22199398,2,19
3186454,2,19
18519621,2,18
24170511,2,18
29851857,2,18
30720484,2,18
3200708,2,18
46524671,2,18
61956663,2,18
11715820,2,17
13062841,2,17
19705776,2,17
21986840,2,17
28955203,2,17
23082535,2,16
33398348,2,16
30624664,2,15
34621407,2,15
7553209,2,15
96064862,2,15
17704682,2,14
34177244,2,14
39406190,2,14
5461820,2,14
2200997,2,13
34244296,2,13
39471201,2,13
60502440,2,13
11672980,2,12
1415684,2,12
22223020,2,12
23080211,2,12
27429886,2,12
59115274,2,12
82589233,2,12
12308915,2,11
12419338,2,11
14167854,2,11
2665157,2,11
26660586,2,11
28614119,2,11
30817027,2,11
4031114,2,11
606016,2,11
7338963,2,11
7537547,2,11
77986839,2,11
82654061,2,11
87135798,2,11
13563379,2,10
19117452,2,10
20878653,2,10
21622433,2,10
25820230,2,10
29491081,2,10
29631869,2,10
31544477,2,10
32965520,2,10
35038152,2,10
43298305,2,10
52500355,2,10
5510839,2,10
8305007,2,10
84516608,2,10
9063962,2,10
91569975,2,10
17202320,2,9
2407746,2,9
24428165,2,9
2711437,2,9
32600587,2,9
35133377,2,9
37843690,2,9
490458,2,9
5839616,2,9
7312684,2,9
83054711,2,9
8345001,2,9
84045368,2,9
10016742,2,8
12023054,2,8
12389772,2,8
14309661,2,8
14498016,2,8
15078217,2,8
17906677,2,8
19164549,2,8
22072483,2,8
2311352,2,8
26856719,2,8
2908268,2,8
2956665,2,8
30374092,2,8
35446662,2,8
3933993,2,8
4011732,2,8
483433,2,8
491955,2,8
68196788,2,8
7342074,2,8
75400229,2,8
75943575,2,8
84122926,2,8
84700417,2,8
8567542,2,8
9034362,2,8
13540914,2,7
14671832,2,7
20616289,2,7
20888380,2,7
2223548,2,7
242104,2,7
30498975,2,7
3746593,2,7
3878700,2,7
39066716,2,7
39203643,2,7
40031993,2,7
40189700,2,7
417354,2,7
4185380,2,7
5487693,2,7
67036,2,7
7580818,2,7
10780327,2,6
12113821,2,6
12597066,2,6
1295093,2,6
13712635,2,6
13823978,2,6
14036521,2,6
14083761,2,6
14788361,2,6
15801036,2,6
16036560,2,6
1775596,2,6
2036582,2,6
21096379,2,6
